,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
19825,19825,19825,SN027Z_AngerText_TrailNo_6074.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_6074.jpg,anger,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
19487,19487,19487,SN027Z_AngerText_TrailNo_2113.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_2113.jpg,anger,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19830,19830,19830,SN027Z_AngerText_TrailNo_6079.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_6079.jpg,anger,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
8110,8110,8110,SN007Y_AngerDescribed_TrailNo_2023.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN007\anger\SN007Y_AngerDescribed_TrailNo_2023.jpg,anger,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5279,5279,5279,SN004Z_AngerText_TrailNo_1046.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\anger\SN004Z_AngerText_TrailNo_1046.jpg,anger,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2
19408,19408,19408,SN027Z_AngerText_TrailNo_2034.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_2034.jpg,anger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12598,12598,12598,SN010Z_AngerText_TrailNo_1046.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\anger\SN010Z_AngerText_TrailNo_1046.jpg,anger,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.75,0.0,0.0
5294,5294,5294,SN004Z_AngerText_TrailNo_1061.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\anger\SN004Z_AngerText_TrailNo_1061.jpg,anger,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2
19622,19622,19622,SN027Z_AngerText_TrailNo_4039.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_4039.jpg,anger,0.2,1.0,0.6,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0
5084,5084,5084,SN004Y_AngerDescribed_TrailNo_1006.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\anger\SN004Y_AngerDescribed_TrailNo_1006.jpg,anger,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20002,20002,20002,SN027Z_AngerText_TrailNo_8058.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_8058.jpg,anger,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0
19557,19557,19557,SN027Z_AngerText_TrailNo_3086.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_3086.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
19731,19731,19731,SN027Z_AngerText_TrailNo_5070.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_5070.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
19635,19635,19635,SN027Z_AngerText_TrailNo_4053.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_4053.jpg,anger,0.4,1.0,0.6,1.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0
5268,5268,5268,SN004Z_AngerText_TrailNo_1035.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\anger\SN004Z_AngerText_TrailNo_1035.jpg,anger,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2
9833,9833,9833,SN009Z_AngerText_TrailNo_1003.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\anger\SN009Z_AngerText_TrailNo_1003.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
8091,8091,8091,SN007Y_AngerDescribed_TrailNo_1049.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN007\anger\SN007Y_AngerDescribed_TrailNo_1049.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9899,9899,9899,SN009Z_AngerText_TrailNo_2023.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\anger\SN009Z_AngerText_TrailNo_2023.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
19891,19891,19891,SN027Z_AngerText_TrailNo_7015.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_7015.jpg,anger,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19709,19709,19709,SN027Z_AngerText_TrailNo_5048.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\anger\SN027Z_AngerText_TrailNo_5048.jpg,anger,0.0,0.6,0.4,1.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.8
183,183,183,SN001Z_AngerText_TrailNo_2055.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\anger\SN001Z_AngerText_TrailNo_2055.jpg,anger,0.0,0.0,1.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1,1,1,SN001Y_AngerDescribed_TrailNo_1012.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\anger\SN001Y_AngerDescribed_TrailNo_1012.jpg,anger,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9917,9917,9917,SN009Z_AngerText_TrailNo_2041.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\anger\SN009Z_AngerText_TrailNo_2041.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
