,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
2615,2615,2615,SN003Y_DisgustDescribed_TrailNo_2027.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\disgust\SN003Y_DisgustDescribed_TrailNo_2027.jpg,disgust,0.0,0.0,0.8,0.0,0.8,1.0,0.0,0.0,0.8,0.0,0.0,0.0
325,325,325,SN001Y_DisgustDescribed_TrailNo_1065.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\disgust\SN001Y_DisgustDescribed_TrailNo_1065.jpg,disgust,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
10279,10279,10279,SN009Z_DisgustText_TrailNo_1062.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\disgust\SN009Z_DisgustText_TrailNo_1062.jpg,disgust,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0
10364,10364,10364,SN009Z_DisgustText_TrailNo_3027.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\disgust\SN009Z_DisgustText_TrailNo_3027.jpg,disgust,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.5,0.0,0.0
366,366,366,SN001Y_DisgustDescribed_TrailNo_2039.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\disgust\SN001Y_DisgustDescribed_TrailNo_2039.jpg,disgust,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.0
356,356,356,SN001Y_DisgustDescribed_TrailNo_2029.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\disgust\SN001Y_DisgustDescribed_TrailNo_2029.jpg,disgust,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.0
12713,12713,12713,SN010Y_DisgustDescribed_TrailNo_2028.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\disgust\SN010Y_DisgustDescribed_TrailNo_2028.jpg,disgust,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
15572,15572,15572,SN013Y_DisgustDescribed_TrailNo_1035.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\disgust\SN013Y_DisgustDescribed_TrailNo_1035.jpg,disgust,0.0,0.6,0.6,0.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.4
20146,20146,20146,SN027Z_DisgustText_TrailNo_1048.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\disgust\SN027Z_DisgustText_TrailNo_1048.jpg,disgust,0.0,0.0,0.8,0.0,0.4,0.2,0.0,0.8,0.6,0.0,0.0,0.0
489,489,489,SN001Z_DisgustText_TrailNo_2027.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\disgust\SN001Z_DisgustText_TrailNo_2027.jpg,disgust,0.0,0.0,0.4,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.8,0.0
10193,10193,10193,SN009Y_DisgustDescribed_TrailNo_3019.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\disgust\SN009Y_DisgustDescribed_TrailNo_3019.jpg,disgust,0.0,0.0,0.6,0.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2796,2796,2796,SN003Z_DisgustText_TrailNo_3032.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\disgust\SN003Z_DisgustText_TrailNo_3032.jpg,disgust,0.0,0.0,0.8,0.0,1.0,1.0,0.2,0.4,0.2,0.0,0.0,0.0
12861,12861,12861,SN010Z_DisgustText_TrailNo_2064.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\disgust\SN010Z_DisgustText_TrailNo_2064.jpg,disgust,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,449,449,SN001Z_DisgustText_TrailNo_1055.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\disgust\SN001Z_DisgustText_TrailNo_1055.jpg,disgust,0.0,0.0,1.0,0.0,1.0,0.8,0.0,0.8,0.4,0.0,0.6,0.0
10240,10240,10240,SN009Z_DisgustText_TrailNo_1023.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\disgust\SN009Z_DisgustText_TrailNo_1023.jpg,disgust,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5661,5661,5661,SN004Z_DisgustText_TrailNo_2022.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\disgust\SN004Z_DisgustText_TrailNo_2022.jpg,disgust,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15601,15601,15601,SN013Y_DisgustDescribed_TrailNo_2035.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\disgust\SN013Y_DisgustDescribed_TrailNo_2035.jpg,disgust,0.0,0.4,0.6,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.4
