,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
20629,20629,20629,SN027Y_FearDescribed_TrailNo_3128.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3128.jpg,fear,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
732,732,732,SN001Z_FearText_TrailNo_2053.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\fear\SN001Z_FearText_TrailNo_2053.jpg,fear,0.6,0.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6
10528,10528,10528,SN009Z_FearText_TrailNo_1003.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\fear\SN009Z_FearText_TrailNo_1003.jpg,fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
20625,20625,20625,SN027Y_FearDescribed_TrailNo_3124.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3124.jpg,fear,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15689,15689,15689,SN013Y_FearDescribed_TrailNo_1035.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\fear\SN013Y_FearDescribed_TrailNo_1035.jpg,fear,0.4,0.6,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
5746,5746,5746,SN004Y_FearDescribed_TrailNo_2017.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\fear\SN004Y_FearDescribed_TrailNo_2017.jpg,fear,0.4,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20583,20583,20583,SN027Y_FearDescribed_TrailNo_3082.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3082.jpg,fear,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20609,20609,20609,SN027Y_FearDescribed_TrailNo_3108.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3108.jpg,fear,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17611,17611,17611,SN025Y_FearDescribed_TrailNo_1029.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN025\fear\SN025Y_FearDescribed_TrailNo_1029.jpg,fear,0.8,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12935,12935,12935,SN010Y_FearDescribed_TrailNo_2033.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\fear\SN010Y_FearDescribed_TrailNo_2033.jpg,fear,0.4,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120,3120,3120,SN003Z_FearText_TrailNo_2056.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\fear\SN003Z_FearText_TrailNo_2056.jpg,fear,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8
10511,10511,10511,SN009Y_FearDescribed_TrailNo_2040.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\fear\SN009Y_FearDescribed_TrailNo_2040.jpg,fear,0.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10606,10606,10606,SN009Z_FearText_TrailNo_2024.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\fear\SN009Z_FearText_TrailNo_2024.jpg,fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4
20738,20738,20738,SN027Z_FearText_TrailNo_2043.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Z_FearText_TrailNo_2043.jpg,fear,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6145,6145,6145,SN004Z_FearText_TrailNo_5072.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\fear\SN004Z_FearText_TrailNo_5072.jpg,fear,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
20581,20581,20581,SN027Y_FearDescribed_TrailNo_3080.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3080.jpg,fear,0.6,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10519,10519,10519,SN009Y_FearDescribed_TrailNo_2048.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\fear\SN009Y_FearDescribed_TrailNo_2048.jpg,fear,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20590,20590,20590,SN027Y_FearDescribed_TrailNo_3089.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3089.jpg,fear,0.4,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15767,15767,15767,SN013Z_FearText_TrailNo_2019.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN013\fear\SN013Z_FearText_TrailNo_2019.jpg,fear,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3001,3001,3001,SN003Y_FearDescribed_TrailNo_3063.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\fear\SN003Y_FearDescribed_TrailNo_3063.jpg,fear,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0
20686,20686,20686,SN027Z_FearText_TrailNo_1055.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Z_FearText_TrailNo_1055.jpg,fear,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5899,5899,5899,SN004Z_FearText_TrailNo_1127.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\fear\SN004Z_FearText_TrailNo_1127.jpg,fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
20526,20526,20526,SN027Y_FearDescribed_TrailNo_3025.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_3025.jpg,fear,1.0,1.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6112,6112,6112,SN004Z_FearText_TrailNo_5039.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\fear\SN004Z_FearText_TrailNo_5039.jpg,fear,0.4,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
20753,20753,20753,SN027Z_FearText_TrailNo_2058.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Z_FearText_TrailNo_2058.jpg,fear,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20331,20331,20331,SN027Y_FearDescribed_TrailNo_1035.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\fear\SN027Y_FearDescribed_TrailNo_1035.jpg,fear,0.6,0.4,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
