,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
14878,14878,14878,SN010Y_SadDescribed_TrailNo_1056.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\sad\SN010Y_SadDescribed_TrailNo_1056.jpg,sad,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14968,14968,14968,SN010Y_SadDescribed_TrailNo_2112.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\sad\SN010Y_SadDescribed_TrailNo_2112.jpg,sad,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4633,4633,4633,SN003Y_SadDescribed_TrailNo_3074.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\sad\SN003Y_SadDescribed_TrailNo_3074.jpg,sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
18866,18866,18866,SN025Y_SadDescribed_TrailNo_1032.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN025\sad\SN025Y_SadDescribed_TrailNo_1032.jpg,sad,0.6,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
4574,4574,4574,SN003Y_SadDescribed_TrailNo_2104.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\sad\SN003Y_SadDescribed_TrailNo_2104.jpg,sad,1.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
22746,22746,22746,SN027Z_SadnessText_TrailNo_1037.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\sad\SN027Z_SadnessText_TrailNo_1037.jpg,sad,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4579,4579,4579,SN003Y_SadDescribed_TrailNo_3018.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\sad\SN003Y_SadDescribed_TrailNo_3018.jpg,sad,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7789,7789,7789,SN004Z_SadnessText_TrailNo_2024.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\sad\SN004Z_SadnessText_TrailNo_2024.jpg,sad,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18870,18870,18870,SN025Y_SadDescribed_TrailNo_1036.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN025\sad\SN025Y_SadDescribed_TrailNo_1036.jpg,sad,0.6,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
2042,2042,2042,SN001Z_SadnessText_TrailNo_2050.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\sad\SN001Z_SadnessText_TrailNo_2050.jpg,sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.0
1990,1990,1990,SN001Z_SadnessText_TrailNo_1066.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\sad\SN001Z_SadnessText_TrailNo_1066.jpg,sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.75,0.0,0.0
4494,4494,4494,SN003Y_SadDescribed_TrailNo_1084.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\sad\SN003Y_SadDescribed_TrailNo_1084.jpg,sad,0.4,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0
19028,19028,19028,SN025Z_SadnessText_TrailNo_2055.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN025\sad\SN025Z_SadnessText_TrailNo_2055.jpg,sad,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.8,0.4,0.5,0.0,0.0
9422,9422,9422,SN007Z_SadnessText_TrailNo_1018.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN007\sad\SN007Z_SadnessText_TrailNo_1018.jpg,sad,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.25,0.0,0.0
23045,23045,23045,SN027Z_SadnessText_TrailNo_2220.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\sad\SN027Z_SadnessText_TrailNo_2220.jpg,sad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
4792,4792,4792,SN003Z_SadnessText_TrailNo_2053.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\sad\SN003Z_SadnessText_TrailNo_2053.jpg,sad,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9378,9378,9378,SN007Y_SadDescribed_TrailNo_2049.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN007\sad\SN007Y_SadDescribed_TrailNo_2049.jpg,sad,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22865,22865,22865,SN027Z_SadnessText_TrailNo_2040.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\sad\SN027Z_SadnessText_TrailNo_2040.jpg,sad,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22913,22913,22913,SN027Z_SadnessText_TrailNo_2088.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\sad\SN027Z_SadnessText_TrailNo_2088.jpg,sad,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14852,14852,14852,SN010Y_SadDescribed_TrailNo_1030.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\sad\SN010Y_SadDescribed_TrailNo_1030.jpg,sad,0.2,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1799,1799,1799,SN001Y_SadDescribed_TrailNo_1093.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\sad\SN001Y_SadDescribed_TrailNo_1093.jpg,sad,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
