,Unnamed: 0,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
19107,19107,19107,SN025Y_SupriseDescribed_TrailNo_2033.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN025\surprise\SN025Y_SupriseDescribed_TrailNo_2033.jpg,surprise,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
7887,7887,7887,SN004Y_SupriseDescribed_TrailNo_1049.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN004\surprise\SN004Y_SupriseDescribed_TrailNo_1049.jpg,surprise,0.4,0.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12084,12084,12084,SN009Y_SupriseDescribed_TrailNo_1034.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\surprise\SN009Y_SupriseDescribed_TrailNo_1034.jpg,surprise,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4
12104,12104,12104,SN009Y_SupriseDescribed_TrailNo_1054.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\surprise\SN009Y_SupriseDescribed_TrailNo_1054.jpg,surprise,0.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23062,23062,23062,SN027Y_SupriseDescribed_TrailNo_1029.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\surprise\SN027Y_SupriseDescribed_TrailNo_1029.jpg,surprise,0.8,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4
12170,12170,12170,SN009Y_SupriseDescribed_TrailNo_2046.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN009\surprise\SN009Y_SupriseDescribed_TrailNo_2046.jpg,surprise,1.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
23432,23432,23432,SN027Z_SupriseText_TrailNo_3052.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\surprise\SN027Z_SupriseText_TrailNo_3052.jpg,surprise,0.8,1.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15187,15187,15187,SN010Y_SupriseDescribed_TrailNo_1065.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\surprise\SN010Y_SupriseDescribed_TrailNo_1065.jpg,surprise,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4957,4957,4957,SN003Y_SupriseDescribed_TrailNo_3042.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN003\surprise\SN003Y_SupriseDescribed_TrailNo_3042.jpg,surprise,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2122,2122,2122,SN001Y_SupriseDescribed_TrailNo_1056.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\surprise\SN001Y_SupriseDescribed_TrailNo_1056.jpg,surprise,1.0,1.0,0.2,1.0,0.0,0.0,0.0,1.0,0.6,0.0,0.6,0.4
15192,15192,15192,SN010Y_SupriseDescribed_TrailNo_1070.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN010\surprise\SN010Y_SupriseDescribed_TrailNo_1070.jpg,surprise,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23397,23397,23397,SN027Z_SupriseText_TrailNo_3017.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN027\surprise\SN027Z_SupriseText_TrailNo_3017.jpg,surprise,0.8,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,2193,2193,SN001Z_SupriseText_TrailNo_1039.jpg,C:\Users\user\Documents\MSc Computer\EmotionDetectionUsingCNN\disfa_dataset\SN001\surprise\SN001Z_SupriseText_TrailNo_1039.jpg,surprise,1.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.4
