,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
0,0,SN001Y_AngerDescribed_TrailNo_1011.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1011.jpg,anger,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,SN001Y_AngerDescribed_TrailNo_1012.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1012.jpg,anger,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,SN001Y_AngerDescribed_TrailNo_1013.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1013.jpg,anger,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,SN001Y_AngerDescribed_TrailNo_1014.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1014.jpg,anger,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,SN001Y_AngerDescribed_TrailNo_1015.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1015.jpg,anger,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,SN001Y_AngerDescribed_TrailNo_1016.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1016.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,SN001Y_AngerDescribed_TrailNo_1017.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1017.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,SN001Y_AngerDescribed_TrailNo_1018.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1018.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,SN001Y_AngerDescribed_TrailNo_1019.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1019.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,SN001Y_AngerDescribed_TrailNo_1020.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1020.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,SN001Y_AngerDescribed_TrailNo_1021.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1021.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,SN001Y_AngerDescribed_TrailNo_1022.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1022.jpg,anger,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,SN001Y_AngerDescribed_TrailNo_1023.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1023.jpg,anger,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,SN001Y_AngerDescribed_TrailNo_1024.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1024.jpg,anger,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,SN001Y_AngerDescribed_TrailNo_1025.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1025.jpg,anger,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,SN001Y_AngerDescribed_TrailNo_1026.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1026.jpg,anger,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,SN001Y_AngerDescribed_TrailNo_1027.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1027.jpg,anger,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17,SN001Y_AngerDescribed_TrailNo_1028.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1028.jpg,anger,0.6,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,SN001Y_AngerDescribed_TrailNo_1029.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1029.jpg,anger,0.6,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,19,SN001Y_AngerDescribed_TrailNo_1030.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1030.jpg,anger,0.6,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,SN001Y_AngerDescribed_TrailNo_1031.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1031.jpg,anger,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,SN001Y_AngerDescribed_TrailNo_1032.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1032.jpg,anger,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,SN001Y_AngerDescribed_TrailNo_1033.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1033.jpg,anger,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,SN001Y_AngerDescribed_TrailNo_1034.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1034.jpg,anger,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,SN001Y_AngerDescribed_TrailNo_1035.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN001/anger/SN001Y_AngerDescribed_TrailNo_1035.jpg,anger,0.8,0.4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
