,Index,Filename,Path,Emotion,AU1,AU2,AU4,AU5,AU6,AU9,AU12,AU15,AU17,AU20,AU25,AU26
5378,5378,SN004Z_AngerText_TrailNo_2078.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2078.jpg,anger,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2
5379,5379,SN004Z_AngerText_TrailNo_2079.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2079.jpg,anger,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2
5380,5380,SN004Z_AngerText_TrailNo_2080.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2080.jpg,anger,0.0,0.0,0.2,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.2
5381,5381,SN004Z_AngerText_TrailNo_2081.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2081.jpg,anger,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2
5382,5382,SN004Z_AngerText_TrailNo_2082.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2082.jpg,anger,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2
5383,5383,SN004Z_AngerText_TrailNo_2083.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2083.jpg,anger,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
5384,5384,SN004Z_AngerText_TrailNo_2084.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2084.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2
5385,5385,SN004Z_AngerText_TrailNo_2085.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2085.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2
5386,5386,SN004Z_AngerText_TrailNo_2086.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2086.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
5387,5387,SN004Z_AngerText_TrailNo_2087.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2087.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
5388,5388,SN004Z_AngerText_TrailNo_2088.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN004/anger/SN004Z_AngerText_TrailNo_2088.jpg,anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
8053,8053,SN007Y_AngerDescribed_TrailNo_1011.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1011.jpg,anger,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8054,8054,SN007Y_AngerDescribed_TrailNo_1012.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1012.jpg,anger,0.4,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8055,8055,SN007Y_AngerDescribed_TrailNo_1013.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1013.jpg,anger,0.6,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8056,8056,SN007Y_AngerDescribed_TrailNo_1014.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1014.jpg,anger,0.6,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8057,8057,SN007Y_AngerDescribed_TrailNo_1015.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1015.jpg,anger,0.8,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8058,8058,SN007Y_AngerDescribed_TrailNo_1016.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1016.jpg,anger,0.8,0.4,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8059,8059,SN007Y_AngerDescribed_TrailNo_1017.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1017.jpg,anger,0.8,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8060,8060,SN007Y_AngerDescribed_TrailNo_1018.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1018.jpg,anger,0.8,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8061,8061,SN007Y_AngerDescribed_TrailNo_1019.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1019.jpg,anger,0.8,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8062,8062,SN007Y_AngerDescribed_TrailNo_1020.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1020.jpg,anger,0.8,0.4,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8063,8063,SN007Y_AngerDescribed_TrailNo_1021.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1021.jpg,anger,0.8,0.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8064,8064,SN007Y_AngerDescribed_TrailNo_1022.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1022.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8065,8065,SN007Y_AngerDescribed_TrailNo_1023.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1023.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8066,8066,SN007Y_AngerDescribed_TrailNo_1024.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1024.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8067,8067,SN007Y_AngerDescribed_TrailNo_1025.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1025.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8068,8068,SN007Y_AngerDescribed_TrailNo_1026.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1026.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8069,8069,SN007Y_AngerDescribed_TrailNo_1027.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1027.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8070,8070,SN007Y_AngerDescribed_TrailNo_1028.jpg,/home-mscluster/oenabor/home/exp1/disfa_dataset/SN007/anger/SN007Y_AngerDescribed_TrailNo_1028.jpg,anger,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
